total_reward,episode_length,q_vals
1.1655000000000004,2799,0
-0.15361000000000008,1121,0
-0.11531000000000015,2175,0
1.169490000000002,2915,0
-0.17401000000000008,991,0
1.1614900000000008,2036,0
-0.13311000000000012,997,0
1.9623899999999967,3477,0
-0.19411,991,0
-0.1121100000000001,965,0
0.30569000000000124,3475,0
-0.09111000000000002,1188,0
0.34249000000000074,1977,0
-0.17311000000000004,962,0
1.1672900000000004,1904,0
0.20599000000000026,1160,0
1.985089999999998,3475,0
0.17089000000000018,2122,0
-0.15481000000000003,1150,0
0.21889000000000033,1910,0
1.2482900000000023,3183,0
0.81049,1570,0
