loss,reward,episode,frame_number,epsilon,q_vals
0.0,0,0,4,1.0,0
0.0,0,0,8,1.0,0
0.0,0,0,12,1.0,0
0.0,0,0,16,1.0,0
0.0,0,0,20,1.0,0
0.0,0,0,24,1.0,0
0.0,0,0,28,1.0,0
0.0,0,0,32,1.0,0
0.0,0,0,36,1.0,0
0.0,0,0,40,1.0,0
0.0,0,0,44,1.0,0
0.0,0,0,48,1.0,0
0.0,0,0,52,1.0,0
0.0,0,0,56,1.0,0
0.0,0,0,60,1.0,0
0.0,0,0,64,1.0,0
0.0,0,0,68,1.0,0
0.0,0,0,72,1.0,0
0.0,0,0,76,1.0,0
0.0,0,0,80,1.0,0
0.0,0,0,84,1.0,0
0.0,0,0,88,1.0,0
0.0,0,0,92,1.0,0
0.0,0,0,96,1.0,0
0.0,0,0,100,1.0,0
0.0,0,0,104,1.0,0
0.0,0,0,108,1.0,0
0.0,0,0,112,1.0,0
0.0,0,0,116,1.0,0
0.0,0,0,120,1.0,0
0.0,0,0,124,1.0,0
0.0,0,0,128,1.0,0
0.0,0,0,132,1.0,0
0.0,0,0,136,1.0,0
0.0,0,0,140,1.0,0
0.0,0,0,144,1.0,0
0.0,0,0,148,1.0,0
0.0,0,0,152,1.0,0
0.0,0,0,156,1.0,0
0.0,0,0,160,1.0,0
0.0,0,0,164,1.0,0
0.0,0,0,168,1.0,0
0.0,0,0,172,1.0,0
0.0,0,0,176,1.0,0
0.0,0,0,180,1.0,0
0.0,0,0,184,1.0,0
0.0,0,0,188,1.0,0
0.0,0,0,192,1.0,0
0.0,0,0,196,1.0,0
0.0,0,0,200,1.0,0
0.0,0,0,204,1.0,0
0.0,0,0,208,1.0,0
0.0,0,0,212,1.0,0
0.0,0,0,216,1.0,0
0.0,0,0,220,1.0,0
0.0,0,0,224,1.0,0
0.0,0,0,228,1.0,0
0.0,0,0,232,1.0,0
0.0,0,0,236,1.0,0
0.0,0,0,240,1.0,0
0.0,0,0,244,1.0,0
0.0,0,0,248,1.0,0
0.0,0,0,252,1.0,0
27.73868,0,0,256,1.0,0
4456.00063,0,0,260,1.0,0
22.07278,0,0,264,1.0,0
16.56824,0,0,268,1.0,0
18.55464,0,0,272,1.0,0
17.52212,0,0,276,1.0,0
10.75148,0,0,280,1.0,0
12.38751,0,0,284,1.0,0
7.21964,0,0,288,1.0,0
3.69991,0,0,292,1.0,0
3.84994,0,0,296,1.0,0
5.34747,0,0,300,1.0,0
3.24025,0,0,304,1.0,0
3.15749,0,0,308,1.0,0
3.39374,0,0,312,1.0,0
2.94971,0,0,316,1.0,0
1.95521,0,0,320,1.0,0
1.17293,0,0,324,1.0,0
2.71277,0,0,328,1.0,0
2.09374,0,0,332,1.0,0
1.52439,0,0,336,1.0,0
1.09242,0,0,340,1.0,0
0.87653,0,0,344,1.0,0
1.58223,0,0,348,1.0,0
0.9643,0,0,352,1.0,0
0.67155,0,0,356,1.0,0
0.7484,0,0,360,1.0,0
0.74314,0,0,364,1.0,0
1.34023,0,0,368,1.0,0
0.50418,0,0,372,1.0,0
0.46204,0,0,376,1.0,0
0.32275,0,0,380,1.0,0
0.45216,0,0,384,1.0,0
0.48073,0,0,388,1.0,0
0.32723,0,0,392,1.0,0
0.50348,0,0,396,1.0,0
0.12245,0,0,400,1.0,0
0.59133,0,0,404,1.0,0
0.31761,0,0,408,1.0,0
0.43341,0,0,412,1.0,0
0.41738,0,0,416,1.0,0
0.15069,0,0,420,1.0,0
0.52172,0,0,424,1.0,0
0.12147,0,0,428,1.0,0
0.45299,0,0,432,1.0,0
0.197,0,0,436,1.0,0
0.26783,0,0,440,1.0,0
0.26052,0,0,444,1.0,0
0.10843,0,0,448,1.0,0
0.30546,0,0,452,1.0,0
0.05436,0,0,456,1.0,0
0.20154,0,0,460,1.0,0
0.10776,0,0,464,1.0,0
0.1255,0,0,468,1.0,0
0.14006,0,0,472,1.0,0
0.06874,0,0,476,1.0,0
0.16093,0,0,480,1.0,0
0.03155,0,0,484,1.0,0
0.0988,0,0,488,1.0,0
0.08145,0,0,492,1.0,0
0.05377,0,0,496,1.0,0
0.07325,0,0,500,1.0,0
0.03382,0,0,504,1.0,0
0.05451,0,0,508,1.0,0
0.04251,0,0,512,1.0,0
0.03904,0,0,516,1.0,0
0.05099,0,0,520,1.0,0
0.03099,0,0,524,1.0,0
0.02963,0,0,528,1.0,0
0.02693,0,0,532,1.0,0
0.03425,0,0,536,1.0,0
0.04058,0,0,540,1.0,0
0.02702,0,0,544,1.0,0
0.03405,0,0,548,1.0,0
0.0293,0,0,552,1.0,0
0.0271,0,0,556,1.0,0
0.04953,0,0,560,1.0,0
0.02259,0,0,564,1.0,0
0.03747,0,0,568,1.0,0
0.05,0,0,572,1.0,0
0.02792,0,0,576,1.0,0
0.03723,0,0,580,1.0,0
0.04088,0,0,584,1.0,0
0.01904,0,0,588,1.0,0
0.04067,0,0,592,1.0,0
0.06667,0,0,596,1.0,0
0.04627,0,0,600,1.0,0
0.02285,0,0,604,1.0,0
0.03898,0,0,608,1.0,0
1.91576,0,0,612,1.0,0
10.95453,0,0,616,1.0,0
10.77378,0,0,620,1.0,0
1.21522,0,0,624,1.0,0
3.0009,0,0,628,1.0,0
0.67852,0,0,632,1.0,0
1.92581,0,0,636,1.0,0
0.43076,0,0,640,1.0,0
0.88025,0,0,644,1.0,0
21.88777,0,0,648,1.0,0
23.4223,0,0,652,1.0,0
17.17845,0,0,656,1.0,0
3.13707,0,0,660,1.0,0
13.95553,0,0,664,1.0,0
3.36685,0,0,668,1.0,0
1.21839,0,0,672,1.0,0
0.64878,0,0,676,1.0,0
1.11797,0,0,680,1.0,0
1.61909,0,0,684,1.0,0
1.66001,0,0,688,1.0,0
0.99937,0,0,692,1.0,0
0.70032,0,0,696,1.0,0
0.97914,0,0,700,1.0,0
1.08569,0,0,704,1.0,0
0.91365,0,0,708,1.0,0
0.91132,0,0,712,1.0,0
0.76143,0,0,716,1.0,0
0.99789,0,0,720,1.0,0
1.08142,0,0,724,1.0,0
1.43658,0,0,728,1.0,0
0.87733,0,0,732,1.0,0
0.7105,0,0,736,1.0,0
0.86285,0,0,740,1.0,0
1.05007,0,0,744,1.0,0
0.9015,0,0,748,1.0,0
1.05147,0,0,752,1.0,0
1.02331,0,0,756,1.0,0
1.28279,0,0,760,1.0,0
1.29742,0,0,764,1.0,0
1.26513,0,0,768,1.0,0
0.90451,0,0,772,1.0,0
1.30915,0,0,776,1.0,0
0.83044,0,0,780,1.0,0
3.71166,0,0,784,1.0,0
11.54011,0,0,788,1.0,0
1.28435,0,0,792,1.0,0
1.3013,0,0,796,1.0,0
1.27851,0,0,800,1.0,0
1.48786,0,0,804,1.0,0
1.2939,0,0,808,1.0,0
1.0472,0,0,812,1.0,0
1.11229,0,0,816,1.0,0
1.29296,0,0,820,1.0,0
0.97834,0,0,824,1.0,0
0.93999,0,0,828,1.0,0
0.93917,0,0,832,1.0,0
0.96999,0,0,836,1.0,0
1.00549,0,0,840,1.0,0
0.92328,0,0,844,1.0,0
1.02343,0,0,848,1.0,0
1.2038,0,0,852,1.0,0
1.08558,0,0,856,1.0,0
1.15943,0,0,860,1.0,0
1.05075,0,0,864,1.0,0
0.82804,0,0,868,1.0,0
1.06548,0,0,872,1.0,0
0.74626,0,0,876,1.0,0
0.82167,0,0,880,1.0,0
0.99296,0,0,884,1.0,0
1.14426,0,0,888,1.0,0
0.99793,0,0,892,1.0,0
0.87578,0,0,896,1.0,0
0.91513,0,0,900,1.0,0
0.83849,0,0,904,1.0,0
0.58374,0,0,908,1.0,0
1.12972,0,0,912,1.0,0
1.01573,0,0,916,1.0,0
0.86947,0,0,920,1.0,0
0.8433,0,0,924,1.0,0
0.92695,0,0,928,1.0,0
0.81926,0,0,932,1.0,0
1.04922,0,0,936,1.0,0
0.95044,0,0,940,1.0,0
6.04635,0,0,944,1.0,0
1.79839,0,0,948,1.0,0
1.87168,0,0,952,1.0,0
1.48012,0,0,956,1.0,0
0.83021,0,0,960,1.0,0
1.19297,0,0,964,1.0,0
1.51607,0,0,968,1.0,0
1.23771,0,0,972,1.0,0
1.23697,0,0,976,1.0,0
1.28951,0,0,980,1.0,0
1.09822,0,0,984,1.0,0
1.36272,0,0,988,1.0,0
0.97043,0,0,992,1.0,0
1.15906,0,0,996,1.0,0
1.07645,0,0,1000,1.0,0
0.81339,0,0,1004,1.0,0
0.7905,0,0,1008,1.0,0
0.71633,0,0,1012,1.0,0
0.7152,0,0,1016,1.0,0
0.66071,0,0,1020,1.0,0
0.87972,0,0,1024,1.0,0
0.67521,0,0,1028,1.0,0
0.63949,0,0,1032,1.0,0
0.70024,0,0,1036,1.0,0
0.46129,0,0,1040,1.0,0
0.85771,0,0,1044,1.0,0
0.50931,0,0,1048,1.0,0
0.53694,0,0,1052,1.0,0
0.58522,0,0,1056,1.0,0
0.55183,0,0,1060,1.0,0
0.52669,0,0,1064,1.0,0
0.82748,0,0,1068,1.0,0
0.62506,0,0,1072,1.0,0
0.54055,0,0,1076,1.0,0
0.47345,0,0,1080,1.0,0
0.63184,0,0,1084,1.0,0
1.0284,0,0,1088,1.0,0
0.50817,0,0,1092,1.0,0
0.84485,0,0,1096,1.0,0
0.64154,0,0,1100,1.0,0
2.17864,0,0,1104,1.0,0
9.04362,0,0,1108,1.0,0
121.09188,0,0,1112,1.0,0
2.05372,0,0,1116,1.0,0
7.00904,0,0,1120,1.0,0
4.7908,0,0,1124,1.0,0
4.98343,0,0,1128,1.0,0
58.64608,0,0,1132,1.0,0
3.39106,0,0,1136,1.0,0
37.2463,0,0,1140,1.0,0
5.0506,0,0,1144,1.0,0
7.89116,0,0,1148,1.0,0
6.94107,0,0,1152,1.0,0
5.11952,0,0,1156,1.0,0
2.90962,0,0,1160,1.0,0
2.24257,0,0,1164,1.0,0
3.78962,0,0,1168,1.0,0
3.35599,0,0,1172,1.0,0
