total_reward,episode_length,q_vals
0.2499999999999999,3098,0
1.109000000000001,4719,0
0.4939999999999999,5918,0
1.0470000000000044,2984,0
0.4909999999999999,4122,0
1.2810000000000044,6507,0
1.3910000000000013,3186,0
-0.16900000000000007,4463,0
-0.001000000000000052,5425,0
0.10899999999999996,1416,0
1.4430000000000014,3662,0
0.9250000000000008,5845,0
0.29699999999999993,1992,0
0.6949999999999998,3316,0
2.489000000000009,6283,0
0.3859999999999999,2462,0
0.5669999999999998,3736,0
1.1000000000000034,5696,0
0.2889999999999999,1705,0
1.9960000000000084,4494,0
