total_reward,episode_length,q_vals
0.30180000000000073,3139,0
-0.0689999999999999,958,0
0.1760000000000004,1660,0
-0.15300000000000008,990,0
-0.1044000000000001,1763,0
1.2085000000000001,1682,0
-0.091,974,0
2.0671999999999957,3608,0
-0.1110000000000001,961,0
0.9193000000000007,1912,0
1.7759000000000011,3037,0
0.18670000000000017,1276,0
0.9251000000000005,1642,0
0.2062000000000002,1143,0
-0.09190000000000001,955,0
-0.1111000000000001,995,0
1.574100000000001,3222,0
-0.11090000000000004,981,0
0.1914000000000001,1808,0
0.17560000000000006,1959,0
-0.15300000000000008,1005,0
1.1828000000000005,2039,0
-0.06999999999999998,961,0
1.2586000000000017,2455,0
-0.13000000000000012,961,0
0.21010000000000034,2042,0
1.2936000000000019,2893,0
0.20350000000000043,1342,0
0.18390000000000026,1449,0
0.9516000000000002,1561,0
-0.059099999999999986,1425,0
-0.07149999999999976,1094,0
0.17120000000000032,1845,0
0.25960000000000044,1731,0
-0.1299000000000001,966,0
-0.05399999999999999,1178,0
0.23630000000000015,1792,0
-0.13210000000000005,988,0
-0.1349000000000001,954,0
-0.045699999999999796,2031,0
0.2421000000000005,1863,0
0.7874000000000012,3119,0
-0.15760000000000013,1145,0
-0.04259999999999994,1573,0
2.0059999999999976,3370,0
1.2062000000000006,2175,0
1.1652000000000007,2113,0
-0.10900000000000008,993,0
-0.08999999999999997,961,0
-0.08800000000000002,961,0
-0.1550000000000001,961,0
-0.17530000000000012,1293,0
1.9846999999999972,3463,0
-0.033499999999999946,1548,0
-0.13240000000000007,1101,0
0.18520000000000011,1602,0
-0.06909999999999997,1230,0
0.7729000000000008,3926,0
0.8475000000000001,1573,0
0.23030000000000025,1183,0
0.2194000000000003,1824,0
0.30980000000000085,2574,0
-0.19490000000000005,952,0
0.17140000000000064,1989,0
-0.11100000000000008,965,0
-0.1137000000000001,1162,0
-0.1520000000000001,990,0
-0.19599999999999998,1006,0
-0.15960000000000005,1395,0
-0.15700000000000003,990,0
-0.07160000000000005,1129,0
-0.1680000000000001,990,0
-0.06420000000000006,1952,0
0.8785000000000007,2334,0
0.29910000000000114,2985,0
-0.13600000000000012,990,0
0.1949000000000006,2146,0
0.8654,1608,0
-0.1280000000000001,1000,0
-0.05289999999999995,2085,0
-0.17010000000000008,991,0
1.165100000000001,2379,0
0.8404000000000011,2104,0
-0.20039999999999997,1290,0
0.8506000000000002,1624,0
-0.1510000000000001,992,0
0.9071,1744,0
-0.1101000000000001,1019,0
-0.1520000000000001,983,0
