loss,reward,episode,frame_number,epsilon,q_vals
0.0,0,0,4,1.0,0
0.0,0,0,8,1.0,0
0.0,0,0,12,1.0,0
0.0,0,0,16,1.0,0
0.0,0,0,20,1.0,0
0.0,0,0,24,1.0,0
0.0,0,0,28,1.0,0
0.0,0,0,32,1.0,0
0.0,0,0,36,1.0,0
0.0,0,0,40,1.0,0
0.0,0,0,44,1.0,0
0.0,0,0,48,1.0,0
0.0,0,0,52,1.0,0
0.0,0,0,56,1.0,0
0.0,0,0,60,1.0,0
0.0,0,0,64,1.0,0
0.0,0,0,68,1.0,0
0.0,0,0,72,1.0,0
0.0,0,0,76,1.0,0
0.0,0,0,80,1.0,0
0.0,0,0,84,1.0,0
0.0,0,0,88,1.0,0
0.0,0,0,92,1.0,0
0.0,0,0,96,1.0,0
0.0,0,0,100,1.0,0
0.0,0,0,104,1.0,0
0.0,0,0,108,1.0,0
0.0,0,0,112,1.0,0
0.0,0,0,116,1.0,0
0.0,0,0,120,1.0,0
0.0,0,0,124,1.0,0
0.0,0,0,128,1.0,0
0.0,0,0,132,1.0,0
0.0,0,0,136,1.0,0
0.0,0,0,140,1.0,0
0.0,0,0,144,1.0,0
0.0,0,0,148,1.0,0
0.0,0,0,152,1.0,0
0.0,0,0,156,1.0,0
0.0,0,0,160,1.0,0
0.0,0,0,164,1.0,0
0.0,0,0,168,1.0,0
0.0,0,0,172,1.0,0
0.0,0,0,176,1.0,0
0.0,0,0,180,1.0,0
0.0,0,0,184,1.0,0
0.0,0,0,188,1.0,0
0.0,0,0,192,1.0,0
0.0,0,0,196,1.0,0
0.0,0,0,200,1.0,0
0.0,0,0,204,1.0,0
0.0,0,0,208,1.0,0
0.0,0,0,212,1.0,0
0.0,0,0,216,1.0,0
0.0,0,0,220,1.0,0
0.0,0,0,224,1.0,0
0.0,0,0,228,1.0,0
0.0,0,0,232,1.0,0
0.0,0,0,236,1.0,0
0.0,0,0,240,1.0,0
0.0,0,0,244,1.0,0
0.0,0,0,248,1.0,0
0.0,0,0,252,1.0,0
40.75039,0,0,256,1.0,0
7942.83867,0,0,260,1.0,0
19.95321,0,0,264,1.0,0
35.86187,0,0,268,1.0,0
27.05521,0,0,272,1.0,0
17.70808,0,0,276,1.0,0
18.5083,0,0,280,1.0,0
9.28469,0,0,284,1.0,0
9.37427,0,0,288,1.0,0
5.90155,0,0,292,1.0,0
8.14454,0,0,296,1.0,0
4.45252,0,0,300,1.0,0
4.89328,0,0,304,1.0,0
1.89089,0,0,308,1.0,0
5.26091,0,0,312,1.0,0
3.30673,0,0,316,1.0,0
2.49402,0,0,320,1.0,0
4.36666,0,0,324,1.0,0
2.26368,0,0,328,1.0,0
2.69825,0,0,332,1.0,0
0.96368,0,0,336,1.0,0
2.29778,0,0,340,1.0,0
2.38557,0,0,344,1.0,0
1.70538,0,0,348,1.0,0
1.7264,0,0,352,1.0,0
0.93426,0,0,356,1.0,0
1.56359,0,0,360,1.0,0
0.92776,0,0,364,1.0,0
0.73238,0,0,368,1.0,0
0.65582,0,0,372,1.0,0
0.97814,0,0,376,1.0,0
0.63545,0,0,380,1.0,0
0.7625,0,0,384,1.0,0
1.34845,0,0,388,1.0,0
1.49498,0,0,392,1.0,0
0.28179,0,0,396,1.0,0
1.23963,0,0,400,1.0,0
0.27704,0,0,404,1.0,0
1.01589,0,0,408,1.0,0
0.19483,0,0,412,1.0,0
1.06095,0,0,416,1.0,0
0.23677,0,0,420,1.0,0
0.79976,0,0,424,1.0,0
0.06748,0,0,428,1.0,0
0.69696,0,0,432,1.0,0
0.13985,0,0,436,1.0,0
0.46659,0,0,440,1.0,0
0.1455,0,0,444,1.0,0
0.30879,0,0,448,1.0,0
0.22695,0,0,452,1.0,0
0.22127,0,0,456,1.0,0
0.28896,0,0,460,1.0,0
0.05872,0,0,464,1.0,0
0.27015,0,0,468,1.0,0
0.07055,0,0,472,1.0,0
0.28572,0,0,476,1.0,0
0.08192,0,0,480,1.0,0
0.17318,0,0,484,1.0,0
0.13524,0,0,488,1.0,0
0.11156,0,0,492,1.0,0
0.15365,0,0,496,1.0,0
0.04629,0,0,500,1.0,0
0.19073,0,0,504,1.0,0
0.04132,0,0,508,1.0,0
0.15748,0,0,512,1.0,0
0.05547,0,0,516,1.0,0
0.0477,0,0,520,1.0,0
0.066,0,0,524,1.0,0
0.05109,0,0,528,1.0,0
0.06445,0,0,532,1.0,0
0.03662,0,0,536,1.0,0
0.07353,0,0,540,1.0,0
0.02949,0,0,544,1.0,0
0.05644,0,0,548,1.0,0
0.05064,0,0,552,1.0,0
0.03895,0,0,556,1.0,0
0.02804,0,0,560,1.0,0
0.03411,0,0,564,1.0,0
0.03769,0,0,568,1.0,0
0.01725,0,0,572,1.0,0
0.03306,0,0,576,1.0,0
0.03653,0,0,580,1.0,0
0.04285,0,0,584,1.0,0
0.01627,0,0,588,1.0,0
0.01897,0,0,592,1.0,0
0.01762,0,0,596,1.0,0
0.81919,0,0,600,1.0,0
2.31675,0,0,604,1.0,0
2.57774,0,0,608,1.0,0
3.93412,0,0,612,1.0,0
0.34467,0,0,616,1.0,0
14.05315,0,0,620,1.0,0
3.55256,0,0,624,1.0,0
9.73644,0,0,628,1.0,0
1.71807,0,0,632,1.0,0
2.33455,0,0,636,1.0,0
3.1377,0,0,640,1.0,0
1.59467,0,0,644,1.0,0
4.95245,0,0,648,1.0,0
4.75951,0,0,652,1.0,0
2.0389,0,0,656,1.0,0
0.54745,0,0,660,1.0,0
1.51696,0,0,664,1.0,0
3.63479,0,0,668,1.0,0
1.75018,0,0,672,1.0,0
0.62123,0,0,676,1.0,0
1.05773,0,0,680,1.0,0
0.41642,0,0,684,1.0,0
0.84083,0,0,688,1.0,0
0.56523,0,0,692,1.0,0
0.57536,0,0,696,1.0,0
0.22447,0,0,700,1.0,0
0.37484,0,0,704,1.0,0
0.24519,0,0,708,1.0,0
0.18234,0,0,712,1.0,0
0.30082,0,0,716,1.0,0
0.20129,0,0,720,1.0,0
0.21494,0,0,724,1.0,0
0.21277,0,0,728,1.0,0
0.14166,0,0,732,1.0,0
0.15569,0,0,736,1.0,0
0.14116,0,0,740,1.0,0
0.09112,0,0,744,1.0,0
0.87418,0,0,748,1.0,0
1.58558,0,0,752,1.0,0
0.35617,0,0,756,1.0,0
1.38285,0,0,760,1.0,0
0.75199,0,0,764,1.0,0
0.62689,0,0,768,1.0,0
0.44068,0,0,772,1.0,0
0.84323,0,0,776,1.0,0
0.75318,0,0,780,1.0,0
0.63916,0,0,784,1.0,0
0.40489,0,0,788,1.0,0
0.34408,0,0,792,1.0,0
0.3805,0,0,796,1.0,0
0.39599,0,0,800,1.0,0
0.28336,0,0,804,1.0,0
0.41018,0,0,808,1.0,0
0.54597,0,0,812,1.0,0
7.96548,0,0,816,1.0,0
3.30876,0,0,820,1.0,0
5.37194,0,0,824,1.0,0
3.63337,0,0,828,1.0,0
3.08562,0,0,832,1.0,0
1.64397,0,0,836,1.0,0
1.90085,0,0,840,1.0,0
2.11431,0,0,844,1.0,0
1.46045,0,0,848,1.0,0
1.14463,0,0,852,1.0,0
1.31851,0,0,856,1.0,0
1.24654,0,0,860,1.0,0
1.2018,0,0,864,1.0,0
0.90123,0,0,868,1.0,0
0.83493,0,0,872,1.0,0
1.11954,0,0,876,1.0,0
1.06873,0,0,880,1.0,0
0.72651,0,0,884,1.0,0
0.96029,0,0,888,1.0,0
0.81712,0,0,892,1.0,0
0.9664,0,0,896,1.0,0
0.69151,0,0,900,1.0,0
0.66904,0,0,904,1.0,0
0.70705,0,0,908,1.0,0
0.84018,0,0,912,1.0,0
0.67973,0,0,916,1.0,0
0.75227,0,0,920,1.0,0
0.62958,0,0,924,1.0,0
0.83348,0,0,928,1.0,0
0.68272,0,0,932,1.0,0
0.70073,0,0,936,1.0,0
0.65817,0,0,940,1.0,0
0.63216,0,0,944,1.0,0
0.74368,0,0,948,1.0,0
0.8106,0,0,952,1.0,0
0.73697,0,0,956,1.0,0
0.68097,0,0,960,1.0,0
0.70728,0,0,964,1.0,0
0.59546,0,0,968,1.0,0
7.30278,0,0,972,1.0,0
1.06607,0,0,976,1.0,0
1.56161,0,0,980,1.0,0
1.11014,0,0,984,1.0,0
1.61992,0,0,988,1.0,0
0.9942,0,0,992,1.0,0
0.9719,0,0,996,1.0,0
0.84422,0,0,1000,1.0,0
1.14191,0,0,1004,1.0,0
0.95632,0,0,1008,1.0,0
0.92529,0,0,1012,1.0,0
2.07493,0,0,1016,1.0,0
1.10772,0,0,1020,1.0,0
1.1351,0,0,1024,1.0,0
0.9296,0,0,1028,1.0,0
0.8414,0,0,1032,1.0,0
0.80767,0,0,1036,1.0,0
0.99125,0,0,1040,1.0,0
0.8517,0,0,1044,1.0,0
0.8021,0,0,1048,1.0,0
0.92003,0,0,1052,1.0,0
0.85339,0,0,1056,1.0,0
0.69806,0,0,1060,1.0,0
4.16028,0,0,1064,1.0,0
1.15912,0,0,1068,1.0,0
1.80404,0,0,1072,1.0,0
1.61389,0,0,1076,1.0,0
0.9181,0,0,1080,1.0,0
1.01028,0,0,1084,1.0,0
0.96201,0,0,1088,1.0,0
0.86165,0,0,1092,1.0,0
0.87957,0,0,1096,1.0,0
0.90522,0,0,1100,1.0,0
0.91491,0,0,1104,1.0,0
0.97962,0,0,1108,1.0,0
0.95135,0,0,1112,1.0,0
0.9099,0,0,1116,1.0,0
0.84896,0,0,1120,1.0,0
1.06046,0,0,1124,1.0,0
0.85527,0,0,1128,1.0,0
0.91991,0,0,1132,1.0,0
0.84829,0,0,1136,1.0,0
0.91753,0,0,1140,1.0,0
0.69265,0,0,1144,1.0,0
0.79095,0,0,1148,1.0,0
0.94753,0,0,1152,1.0,0
0.83267,0,0,1156,1.0,0
0.77279,0,0,1160,1.0,0
0.84246,0,0,1164,1.0,0
0.91321,0,0,1168,1.0,0
0.84673,0,0,1172,1.0,0
